id,molecule_id,assay_id,endpoint_name,endpoint_category,measured_value,measured_unit,direction,significance_label,is_observed_experimental,source_document_id,source_location,evidence_grade
571,443,848,hepatotoxicity,hepatic,,,no significant change,not significant,1,9021,Discussion; paragraph 11,C
572,1084,849,hepatotoxicity,hepatic,,,no significant change,not significant,1,9102,Discussion; paragraph 48,C
574,986,851,hepatotoxicity,hepatic,,,increased,,1,9180,Abstract; paragraph 1,B
576,1085,853,hepatotoxicity,hepatic,,,no significant change,not significant,1,9274,Discussion; paragraph 47,C
578,1021,855,hepatotoxicity,hepatic,,,increased,,1,9560,Results > DG9-PMO facilitates enhanced cellular uptake and efficacious nuclear localization; paragraph 9,A
581,1022,858,hepatotoxicity,hepatic,,,,,1,9662,Results > In vitro Antitumor Effect of E-cLip-DTX / Si; paragraph 46,A
583,1086,860,hepatotoxicity,hepatic,,,increased,,1,9750,Results and discussion > In vivo anti-tumor activity of DS-ARGN; paragraph 25,C
586,1071,863,toxicity,general toxicity,,,,,1,9792,Abstract > Methods; paragraph 2,B
587,299,864,renal safety,renal,,,no significant change,not significant,1,9966,Results > Three-month rat toxicology study; paragraph 38,A
588,1087,865,hepatotoxicity,hepatic,,,increased,,1,10132,Results and discussion > Effect of Dox-loaded AS-T9/U4_MH on cell proliferation; paragraph 31,C
589,1023,866,hepatotoxicity,hepatic,,,no significant change,not significant,1,10245,Results > Safety aspects of the lead candidate AON; paragraph 43,A
598,1024,875,hepatotoxicity,hepatic,,,,,1,1282,Results > Pre-saturation with calcium reduces acute neurotoxicity; paragraph 25,A
600,1025,877,hepatotoxicity,hepatic,,,increased,,1,1562,Methods > End-points > Safety; paragraph 13,A
601,545,878,hepatotoxicity,hepatic,,,increased,,1,2556,DISCUSSION > Risk of adverse effects; paragraph 53,C
602,472,879,hepatotoxicity,hepatic,,,no significant change,not significant,1,2588,Results > siRNA-LNPs displayed a low risk of CARPA and other toxicities; paragraph 9,A
603,1072,880,hepatotoxicity,hepatic,,,decreased,,1,2618,Abstract; paragraph 1,B
604,1088,881,hepatotoxicity,hepatic,,,no significant change,not significant,1,3813,RESULTS AND DISCUSSION; paragraph 20,C
605,1073,882,hepatotoxicity,hepatic,,,increased,,1,3848,Abstract; paragraph 1,B
607,1026,884,hepatotoxicity,hepatic,,,increased,,1,3903,3. Results > 3.3. Intrinsic Toxicity and Transfection Efficiency of TRIFAPYs; paragraph 31,A
608,1027,885,cell viability/cytotoxicity,general safety,,,no significant change,not significant,1,3912,Results > Biocompatibility Test of Different Scaffolds; paragraph 34,A
609,1074,886,renal safety,renal,,,,,1,3913,Materials and methods > Animal experiments; paragraph 12,B
611,1089,888,hepatotoxicity,hepatic,,,,,1,10547,Discussion; paragraph 31,C
